PID: COMMAND
963: /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
964: /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
965: /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fpsd
2389: /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
2395: /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
2431: /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker
2432: /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker
2445: /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeinstalld
2467: /usr/libexec/diskmanagementd
3465: /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
4586: /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
6328: /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
15444: /Applications/Safari.app/Contents/MacOS/Safari
15446: /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
15450: /System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/webinspectord
18933: /Applications/Preview.app/Contents/MacOS/Preview
25363: /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
25717: /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
27831: /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
27867: /Applications/Atom.app/Contents/MacOS/Atom
27869: /Applications/Atom.app/Contents/Frameworks/Atom
27870: /Applications/Atom.app/Contents/Frameworks/Electron
28259: /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
35272: /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
35297: /usr/sbin/WirelessRadioManagerd
35304: /usr/libexec/routined
35309: /usr/libexec/mobileassetd
35315: /usr/libexec/coreduetd
35316: /usr/sbin/cfprefsd
35319: /usr/libexec/timed
35321: /System/Library/PrivateFrameworks/CoreADI.framework/adid
35325: /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
35327: /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
35329: /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
35331: /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
35333: /usr/libexec/secd
35335: /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
35336: /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
35338: /usr/libexec/amfid
35342: /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
35384: /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
35385: /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
35386: /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
35389: /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
35391: /usr/libexec/knowledge-agent
35393: /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd
35395: /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
35399: /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
35401: /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
35404: /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotosd
35406: /usr/sbin/spindump
35407: /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/Frameworks/CloudPhotosConfigurationXPC.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
35420: /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
35422: /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
35424: /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper
35425: /System/Library/CoreServices/pbs
35427: /usr/libexec/dprivacyd
35486: /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
35487: /usr/libexec/nehelper
35508: /System/Library/CoreServices/iconservicesagent
35570: /Applications/Xcode.app/Contents/MacOS/Xcode
35574: /usr/libexec/swcd
35575: /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
35576: /Applications/Xcode.app/Contents/PlugIns/GitHubHostBuiltInExtension.appex/Contents/MacOS/GitHubHostBuiltInExtension
35577: /Applications/Xcode.app/Contents/PlugIns/BitbucketHostBuiltInExtension.appex/Contents/MacOS/BitbucketHostBuiltInExtension
35578: /Applications/Xcode.app/Contents/PlugIns/GitHubEnterpriseHostBuiltInExtension.appex/Contents/MacOS/GitHubEnterpriseHostBuiltInExtension
35579: /Applications/Xcode.app/Contents/PlugIns/BitbucketServerHostBuiltInExtension.appex/Contents/MacOS/BitbucketServerHostBuiltInExtension
35582: /Applications/Xcode.app/Contents/PlugIns/GitLabSelfHostBuiltInExtension.appex/Contents/MacOS/GitLabSelfHostBuiltInExtension
35583: /Applications/Xcode.app/Contents/PlugIns/GitLabHostBuiltInExtension.appex/Contents/MacOS/GitLabHostBuiltInExtension
35586: /Applications/Xcode.app/Contents/SharedFrameworks/SourceKit.framework/Versions/A/XPCServices/com.apple.dt.SKAgent.xpc/Contents/MacOS/com.apple.dt.SKAgent
35587: /Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/Library/GPUToolsPlatform/GPUToolsAgent.app/Contents/MacOS/GPUToolsAgent
